Metric,All Classes,Selected Diseases
ROC_AUC,0.8248,0.9072
ACCURACY,0.9781,0.9247
PRECISION,0.2072,0.5115
RECALL,0.2507,0.6737
F1,0.2229,0.5769
MCC,0.2151,0.5443
TPR,0.2507,0.6737
TNR,0.9848,0.9408
