Disease,F1_Score,Precision,Recall,ROC_AUC,MCC,TPR,TNR
MH,0.8181818181818182,0.84375,0.7941176470588235,0.9614221153145273,0.7854509213298978,0.7941176470588235,0.9721189591078067
DR,0.7716535433070867,0.8032786885245902,0.7424242424242424,0.9597053209257933,0.7160962313284017,0.7424242424242424,0.952755905511811
MYA,0.6849315068493151,0.6410256410256411,0.7352941176470589,0.9886915162104446,0.6677335605918995,0.7352941176470589,0.976897689768977
TSLN,0.6727272727272727,0.8222222222222222,0.5692307692307692,0.9594648829431438,0.6560960109989058,0.5692307692307692,0.9860869565217392
ODC,0.5555555555555555,0.6481481481481481,0.4861111111111111,0.8866148278560251,0.5145969852909619,0.4861111111111111,0.9665492957746479
CRVO,0.5454545454545454,1.0,0.375,0.9952531645569621,0.6099643554451831,0.375,1.0
ODE,0.5405405405405405,0.625,0.47619047619047616,0.9509193014847296,0.5322944458069165,0.47619047619047616,0.9903069466882067
