Disease,F1_Score,Precision,Recall,ROC_AUC,MCC,TPR,TNR
RS,0.8461538461538461,0.9166666666666666,0.7857142857142857,0.9981743496120493,0.8455932771722242,0.7857142857142857,0.9984025559105432
DR,0.7966804979253113,0.8807339449541285,0.7272727272727273,0.9624791219279408,0.7552639526005527,0.7272727272727273,0.9744094488188977
MH,0.7614213197969544,0.7894736842105263,0.7352941176470589,0.959927837305926,0.7187218936226226,0.7352941176470589,0.9628252788104089
MYA,0.7096774193548386,0.7857142857142857,0.6470588235294118,0.989225393127548,0.6986635249742565,0.6470588235294118,0.9900990099009901
ARMD,0.625,0.7692307692307693,0.5263157894736842,0.9607885994054904,0.618105395776212,0.5263157894736842,0.9900332225913622
BRVO,0.5945945945945946,0.7857142857142857,0.4782608695652174,0.9711789162145021,0.6023963268131901,0.4782608695652174,0.9951377633711507
TSLN,0.5607476635514019,0.7142857142857143,0.46153846153846156,0.952695652173913,0.5375610100823526,0.46153846153846156,0.9791304347826087
